	EZH2	SRSF2
BA2392	7.01271335596315	9.83892848550566
BA2611	7.0420285397911	9.86270964606403
BA2506	6.97592290315855	9.83892848550566
BA2430	7.02554920178684	9.85672905613112
BA2448	7.02415111976065	9.85672905613112
BA2730	7.05061628699762	9.83304132704525
BA2845	7.08068398565122	9.8991027074875
BA2326	7.1045805500083	9.87474271994728
BA2341	7.1045805500083	9.93012293296997
BA2612	7.15481965297646	9.90525526471174
BA2973	7.08068398565122	9.93012293296997
BA2390	7.10235206017353	9.92386690563917
BA3218	7.11362489243587	9.89297540900361
BA3105	6.97176870633362	9.95541459791256
BA3402	7.04058248557274	10.0007468429699
BA3276	6.95344802847081	9.98114720830101
BA2409	4.1237457502688	8.41135949860071
BA3037	5.40039592941304	8.23061160269424
BA2496	5.43115262897872	8.84307877151568
BA2172	4.70731608736247	8.71271331389775
BA2865	4.86463645708681	9.22287720595147
BA2923	4.64449742091882	7.64511152399424
BA2751	5.48988184269187	9.50293364970638
BA2480	4.58334363014916	8.73025810259064
BA2286	5.1185297033232	8.92083445647999
BA2922	5.35265544520885	9.3217592552912
BA2452	6.33280116885594	9.82133532639013
BA3379	5.72556301998601	9.46372381175102
BA2887	5.34725969274235	9.13342062895717
BA2712	6.12302701419306	9.39118419839355
BA2068	5.53387100376444	10.6289390647318
BA2236	4.38671805486927	9.22287720595147
BA2104	4.46918025920294	7.64511152399424
BA3124	4.744989372778	9.38234175781362
BA3395	5.94563203594008	9.09970659968869
BA2921	4.00781378331485	9.54945587390153
BA2449	6.11039522609915	8.60608533344799
BA2003	6.45401948854285	9.75293118746352
BA2360	6.21410531502083	9.42251934116338
BA2802	5.7010856278578	9.53969913371194
BA2235	4.73764209982809	8.93082572022568
BA2858	6.37454386361439	9.30906602396076
BA3038	5.72213373131707	8.60879594020241
BA3006	5.49550080381286	9.64008823387741
BA2245	3.99343352661343	9.49651930986164
BA2667	5.57784205345213	8.95438322249582
BA2239	5.13014241250355	8.66407371953991
BA2782	5.10491139366288	8.89122942781574
BA2649	6.15187477635529	9.61438474364243
BA2488	5.35633645133756	8.90103696609653
BA2861	5.57675252591336	9.17948259034573
BA2909	5.0766039980492	8.79205235357759
BA2429	4.59759061851511	8.99222936727265
BA2653	5.31794680182615	9.26099325755712
BA2134	3.92781584362597	8.46430959418229
BA2947	5.99970534098919	9.415200229547
BA2032	4.94979323861825	8.73910632748104
BA2162	4.18094171508708	9.18338030789918
BA2564	5.72519608896332	8.9076089453561
BA2597	6.6886775034689	9.50768698561149
BA3243	4.17562396984582	9.04501990946176
BA2106	5.74166284605219	9.17171491689544
BA2427	5.24140893715519	9.16398396797258
BA2841	6.27332825884915	9.67679810675791
BA2446	6.07906325231323	9.47302564786274
BA2645	5.80732189831465	9.12586826213153
BA2525	4.68941736509374	9.18338030789918
BA2876	5.38913307968471	9.19120372633416
BA2357	6.42718608083043	9.26745559419095
BA2546	5.14264325331446	8.86536741111737
BA2742	5.12241133726936	8.66689198102969
BA2316	5.5361204470046	8.95099667095566
BA2421	5.89048099649459	8.268195867683
BA2087	4.72808220076467	8.81980741439546
BA2910	5.67127118896803	8.89776108628452
BA2148	6.00556371466788	8.72438748273975
BA2063	4.91721018578494	9.26745559419095
BA2329	5.45162820453411	8.8717935877338
BA3178	5.29947262046614	8.87501645157825
BA2072	5.80146381261149	9.13342062895717
BA3029	6.37215716750202	9.45447558148811
BA2733	6.3144421792923	9.22687989289351
BA2995	6.36512999451549	9.52517542791568
BA2069	6.08966256500214	9.47769688223901
BA2100	6.38261014012489	8.672544374331
BA2681	5.93982972127244	9.19512951707567
BA2248	5.76488394506669	9.36916799017741
BA2832	5.63859875243939	9.60422004710875
BA2308	4.88883896739495	9.75851596885508
BA2413	4.74815204997173	9.62975620855742
BA2701	4.43461919303822	9.05581138653334
BA2634	4.56835874883418	9.3561004357089
BA2677	5.82076176816399	9.48238177689826
BA2937	5.59736566113199	9.27156918109996
BA2600	5.31182798555781	9.04860912314158
BA2019	6.5257979218845	9.52036350053221
BA2412	3.29806393451797	8.75995195431454
BA2334	5.72791281354614	9.56420444046175
BA2050	6.29737759041703	9.94905102299885
BA3230	5.70986425222156	9.08494318011795
BA2953	6.83843057067482	9.20696376307392
BA2481	6.14672505812723	9.8155160837716
BA2731	5.32164044187742	8.78108213178214
BA2294	6.04816746430603	9.60929418124753
BA2418	5.55739491408236	9.45909303825332
BA2816	6.26033254809805	9.36916799017741
BA2656	6.05692203263316	9.94905102299885
BA2814	5.66513415407858	9.10713869224013
BA2631	5.76722856076773	9.26745559419095
BA2023	5.54245080282141	9.01306871894599
BA2375	5.19664711091347	9.27156918109996
BA2485	5.47580004129115	9.67842749251503
BA2455	5.39458251066191	8.8589671548512
BA2025	5.85025846641857	9.09600320401444
BA2636	5.25038320893089	9.04860912314158
BA2325	4.00819948287575	8.45209623715645
BA2169	5.15035146596143	9.50601427714714
BA2156	5.70032456019922	9.38675693832204
BA2511	6.19966591698805	9.36916799017741
BA2939	5.17241204196236	9.13342062895717
BA2168	4.87937557014674	9.73079295605488
BA2505	3.99791458399155	9.39118419839355
BA2860	5.39605181278963	8.71271331389775
BA2707	5.88526249443146	9.20696376307392
BA2871	5.2861234484291	8.99211218550823
BA2655	6.481688319913	9.60422004710875
BA2227	5.75911087985136	9.59916222255831
BA2125	6.15101372135618	9.41800548205558
BA2523	6.88034277223335	9.53000194332933
BA2603	5.88798351527577	9.12586826213153
BA2808	5.22713590568466	9.17948259034573
BA2282	4.56764021310081	9.02364943472175
BA2482	5.79487700443781	8.91090509269608
BA2812	6.26604717378172	9.70356008854553
BA2822	5.53979697945933	9.31672506964559
BA2594	5.49867482524586	9.22287720595147
BA2747	5.29307989811682	9.47769688223901
BA2561	6.07987511764245	9.93012293296997
BA2567	6.01332316435917	10.0007468429699
BA2906	6.24365480544028	9.91143332054624
BA2956	6.8005248227196	9.90525526471174
BA2474	5.35194416070465	9.00955709168753
BA2737	5.69526819057696	9.80971908397822
BA2110	5.29986206219824	8.73025810259064
BA2992	6.42763769743183	9.14481502348153
BA2220	6.42189529871828	9.40901547409309
BA2772	5.69607421457276	8.71853926395486
BA2935	5.69757983119209	9.17171491689544
BA2260	5.42712462599135	9.12964008242639
BA2676	6.59838838471777	9.23089240757758
BA2948	6.00556371466788	8.6697155276332
BA2524	5.34548008260551	8.98864564355709
BA2811	5.69720265968762	9.24704173883127
BA2540	5.05115412774342	9.04501990946176
BA2928	6.18727628290146	9.36916799017741
BA2302	5.46808531788419	9.39562360946183
BA2595	5.81283987747723	8.68106286594684
BA2792	5.58383676402354	9.54457000922792
BA2651	5.40885224287312	8.92748837970555
BA2619	5.43042530271375	8.7332018546727
BA3013	6.31585760088979	9.50601427714714
BA2405	5.44826154156483	8.70980864868103
BA2735	6.21454243325922	8.59798330037588
BA2856	5.97608438156721	8.92415796681604
BA2377	5.04731382080461	7.83840005803793
BA2499	5.43510067241067	8.81487669872437
BA2463	6.56428369493048	9.52684328251404
BA3023	5.34865531492155	9.00605305286098
BA2095	6.41555515164963	9.61438474364243
BA2901	5.38585461790311	8.45209623715645
BA2275	5.50978975058831	8.70401585675217
BA2387	3.41659896255636	9.30065851731011
BA2962	5.73284131564851	9.36480042798147
BA2195	6.2114515075537	8.97142354261209
BA2688	6.10538403903875	9.00264729477778
BA2787	5.12205431291829	8.94424486652991
BA2420	5.64011484889975	9.4000752436972
BA2756	5.94641278080618	8.61423212805534
BA2122	6.10323904488586	8.73025810259064
BA2053	6.18074633883084	8.71562351354988
BA2080	5.2381836725971	9.34313727945847
BA2081	5.75606111415072	9.50601427714714
BA2354	5.39929335398575	9.03608369232641
BA3273	4.80779826591488	9.00443312215534
BA2893	5.5906429058684	9.85077214115986
BA2044	6.22989744594561	9.3735473533766
BA2489	5.74090562795813	9.57411368730524
BA2309	6.2918184227424	9.39562360946183
BA2720	5.96545215931813	8.46249696810185
BA2908	4.99070869170882	8.66493693752935
BA2054	6.33324319286844	9.3217592552912
BA2872	6.50297201387594	9.13720994130471
BA2526	6.27694818574979	9.31328611186612
BA2041	6.05361973784087	9.88079564639631
BA2464	5.16855006190863	8.85577669200061
BA2902	6.07479305709891	10.0680496747685
BA2541	4.74957774721697	9.04860912314158
BA2143	5.36725981004116	9.0307417478067
BA2094	6.11421817923463	9.45909303825332
BA2769	5.93410860815703	8.97485330936457
BA2843	6.7037023558772	9.29229417829056
BA2592	6.84098754890722	9.86871412745455
BA2497	5.51500276467509	8.61423212805534
BA2718	6.11633596300958	9.30906602396076
BA2575	5.07515720571569	8.55813210635661
BA2096	6.48606087387678	10.0958725482412
BA2593	7.19816924570359	10.111511463709
BA2791	5.04444275985059	9.61438474364243
BA2620	4.01641654454627	8.8717935877338
BA2629	6.05448659537988	9.55435683089665
BA2870	6.19822146547957	9.53484314535953
BA2423	4.96476498398767	8.69824500910271
BA2682	5.36514025423526	9.51078302100883
BA2276	5.91874058491338	9.1410080593907
BA2348	6.01997355940229	8.38563253120242
BA2709	5.70069374807012	8.68676863894814
BA2789	5.41609656191544	9.09600320401444
BA2694	5.8741844767795	9.42251934116338
BA2538	6.33280116885594	9.00955709168753
BA2583	5.5372259675426	9.67679810675791
BA2415	5.72866766844001	8.94424486652991
BA2722	4.93504794352695	8.95099667095566
BA2806	5.60617377123055	9.66622107740225
BA2221	6.17728971570781	9.47769688223901
BA3025	5.32268742710505	9.50125973784097
BA2514	6.32267289165303	9.49819442110274
BA2520	5.76920600167318	9.53000194332933
BA2441	4.88184571425701	9.62461563502098
BA2153	4.96896518773792	9.11460476788528
BA2479	6.08966256500214	9.67313133431446
BA2281	5.8546289142141	9.64527993925034
BA2657	3.86667316749471	8.99211218550823
BA2932	5.51345714323729	9.47769688223901
BA2123	6.17166961813264	9.82717700787936
BA2844	6.7630173908565	9.66095938066438
BA2660	5.37049633306029	9.16784487350203
BA2836	6.25632117467534	9.14481502348153
BA3027	6.68810200399149	9.29647098090766
BA2714	4.88537399325768	8.89449191470128
BA2139	4.39445609206128	8.42559982560594
BA2251	5.5413102037989	9.3260124319477
BA2952	5.02619905861961	8.99211218550823
BA2440	5.57190904546529	9.83892848550566
BA2036	4.9227991604453	9.65571538111022
BA2828	4.99851357395831	9.06304565250042
BA2292	6.80787905159787	9.94271473100152
BA2410	5.35671343237345	9.64527993925034
BA2051	5.68759563054623	8.88472441482659
BA2532	5.50203062931775	8.94424486652991
BA2986	5.88005273032646	9.67150060698144
BA2494	6.64631169310032	9.52036350053221
BA2515	6.66067320636594	9.48238177689826
BA2748	6.2114515075537	9.45909303825332
BA2970	6.91665453342353	9.11835064360706
BA2622	4.78188212473359	9.01306871894599
BA2839	5.37675910366016	9.29229417829056
BA2052	7.07994856692804	9.55435683089665
BA3011	5.86019583665539	9.07750677038397
BA2868	5.83483518369012	9.47769688223901
BA2510	5.42161592263156	8.99211218550823
BA2065	5.33503178066884	9.09600320401444
BA2691	4.00036361734849	8.86536741111737
BA2374	6.77775850085893	9.67679810675791
BA2804	6.31492475633183	9.08494318011795
BA2670	5.76568700898176	8.28526081080175
BA2675	5.14967422759909	9.13342062895717
BA2589	6.21976021821158	9.03786515454843
BA2031	5.25385282871793	8.60608533344799
BA2198	5.31682531575163	9.07395764638915
BA2066	5.78265919367654	8.90103696609653
BA2344	5.28538104551213	9.43613726309062
BA2459	6.56890360423702	8.31312330931764
BA2229	5.41716478810556	9.38675693832204
BA2559	6.23708437608245	8.86857724833819
BA2093	5.62490937512472	9.22287720595147
BA2000	6.61592394796106	9.58408544068247
BA2425	5.15277462061388	9.50768698561149
BA2905	6.3544519231975	9.16784487350203
BA2304	4.6536793016403	8.61695773628636
BA2976	5.5962261554154	8.97485330936457
BA2386	4.31964800368711	8.79328666582968
BA2035	5.57154615906059	9.22287720595147
BA2760	5.74318527568312	8.49657233882556
BA2201	5.29487332704559	9.08494318011795
BA2355	6.76715417447917	9.52517542791568
BA2113	6.80486837491	9.44407804044761
BA2155	6.57670086749662	9.88687313292775
BA2955	5.15277462061388	9.09600320401444
BA2502	5.59736566113199	9.14863087419242
BA2322	6.06255807626612	9.160132157513
BA2376	4.52802366345833	8.61423212805534
BA2020	6.43335604753767	9.83892848550566
BA2226	5.36143895724277	8.93417001363455
BA2200	5.87927912302444	9.73079295605488
BA2121	6.6430484484285	8.92415796681604
BA2944	5.25458692670885	9.2389471182711
BA2033	6.44275689894875	9.53484314535953
BA2867	6.18590754539494	9.30065851731011
BA2089	5.44461485443026	8.18416035809344
BA2224	5.90157614057374	9.12964008242639
BA2046	6.24055068924258	9.1872873383188
BA2972	6.30740738637139	9.44070228005406
BA2978	5.7151540674209	8.40194775982719
BA2829	5.64918681238206	8.97485330936457
BA2851	5.31144747900552	9.2592593958878
BA2587	6.33191637769617	9.02364943472175
BA2461	5.81242563536261	9.21490111990201
BA2695	5.62679253065256	9.0468018581655
BA2623	5.9610279397687	9.3217592552912
BA2024	5.81648610262315	9.17171491689544
BA2426	6.20271197742685	9.0307417478067
BA2271	4.87903527269784	9.12964008242639
BA3004	5.98180577093432	9.80971908397822
BA2579	5.14194854842965	8.85577669200061
BA3010	5.6681641248555	8.87824586229709
BA2662	6.61649602743193	9.06304565250042
BA2674	4.3981107984309	9.25517667754352
BA2280	4.650152754678	9.22287720595147
BA2512	4.78751391876221	8.54249270039127
BA2658	5.83841841477399	9.30065851731011
BA2394	6.13208464272519	9.26335235036244
BA2950	5.29014927757584	9.31751716888528
BA2981	7.023488210081	8.89449191470128
BA2934	4.57905905511671	9.3260124319477
BA2539	5.88684341274268	9.11835064360706
BA2249	5.70604900479139	9.22687989289351
BA2034	4.6742639798329	8.99390471507907
BA2109	5.55025760092161	8.65285322774346
BA2242	4.40909041856159	9.45909303825332
BA2277	4.76180081744306	9.2389471182711
BA2727	4.56478976898356	8.92415796681604
BA2132	5.81959741153124	9.8991027074875
BA2618	5.73442845067299	8.70690950167434
BA2521	5.16960938829634	9.09970659968869
BA2846	4.90254409754431	9.30906602396076
BA2885	5.00796743570823	8.57925061313916
BA2639	6.10408615184211	9.4270458724936
BA2775	5.09496926322148	9.44987135785787
BA2402	5.05998896160971	8.84307877151568
BA2097	4.69506440431895	9.28812805203208
BA2786	6.63111242241247	9.42251934116338
BA2399	5.74985586104485	9.63491369950168
BA2850	4.48983140690623	9.89297540900361
BA2174	5.73699919077019	9.04860912314158
BA2004	4.17864479441855	8.48407580140491
BA3001	6.48705929163371	9.67679810675791
BA2311	5.30744038497995	8.78412431760784
BA2483	4.22213876832889	8.63525880753156
BA3040	6.64464627075058	9.43158515365849
BA2837	4.43535157234795	9.0271917203024
BA2724	5.58914523241343	8.88472441482659
BA2911	4.74078679013041	8.99558616821901
BA2256	6.49504433110095	9.27569316532541
