	EZH2	SRSF2
BA2821	5.84430678297576	9.34313727945847
BA2233	6.0921968661524	9.65571538111022
BA2744	4.70381184087467	9.14863087419242
BA2880	5.85654635479991	9.160132157513
BA2621	4.79068369995582	8.9076089453561
BA3002	4.29867481796289	8.69720423583871
BA2501	5.76526823165432	9.40901547409309
BA2993	4.24082241554656	9.35176787188011
BA2301	6.68593691853273	9.0307417478067
BA2852	4.93401038600293	9.3561004357089
BA2133	5.89603275873882	9.2389471182711
BA2866	7.38257507273258	9.8991027074875
BA2212	6.30142372411484	9.33027676031699
BA2685	6.54875546973009	9.26745559419095
BA2273	6.08237851607355	9.98114720830101
BA2477	6.43241877433245	9.26335235036244
BA2659	5.41609656191544	8.52958832512444
BA2124	5.94717583892944	9.87632246618632
BA2363	5.01110132445605	8.26607857536642
BA2369	6.28051995140614	9.25110414260315
BA2534	4.38891609087157	9.34313727945847
BA2400	5.73663382994184	9.43613726309062
BA2762	5.66204443579784	9.34313727945847
BA2312	4.55739011915781	9.53484314535953
BA2813	5.51015899119849	9.78106105276028
BA2211	5.05115412774342	9.85831326849695
BA2171	5.4843036495526	9.64008823387741
BA2746	5.24069452394771	8.98518651350313
BA2798	5.17381001168529	9.27569316532541
BA2809	4.16439378818326	9.39118419839355
BA2288	6.60051001058414	9.98087822775469
BA2801	6.76656262392125	8.83362186336888
BA3030	5.85501990072082	8.61063875058243
BA2588	5.85341733924409	9.60929418124753
BA2296	5.96784634669034	9.36916799017741
BA2300	5.71478675399189	9.88687313292775
BA2903	6.08278210679629	8.3926007250059
BA2473	6.4243136710677	9.93797001113285
BA2545	6.02819468374248	9.17171491689544
BA2840	6.4137172012398	9.22062772367926
BA2528	5.5977589538239	9.30485684547982
BA2646	5.72754939375197	8.95099667095566
BA3407	6.25534556152395	9.38234175781362
BA2240	5.62755258680148	9.28812805203208
BA2926	6.57305438035027	9.26745559419095
BA2272	5.14578866134918	8.97485330936457
BA2306	6.00173500696481	8.7420670822246
BA2765	4.14520169098392	8.55029123602985
BA2904	5.683055970914	9.13720994130471
BA2883	4.80215496386561	9.01306871894599
BA2726	4.05963620965163	8.54249270039127
BA2234	5.99605530428902	8.97142354261209
BA2022	6.04021038079235	9.75851596885508
BA2228	6.04734642903678	9.25517667754352
BA2037	4.68133985426918	9.23089240757758
BA2184	6.59838838471777	9.45447558148811
BA3009	5.65863949770921	9.76974697360105
BA2842	6.03484592617001	8.61968837224666
BA2442	5.1308809152012	8.9076089453561
BA2882	4.93504794352695	8.5607551950315
BA2758	4.71192806102431	8.76897254396233
BA2705	4.81197374042518	9.20696376307392
BA2663	5.06034106840668	8.62516478231551
BA2570	5.83756838624294	8.79022656584331
BA2764	5.97812067314416	8.18813169577028
BA2209	6.42953951724595	8.67821802831458
BA2989	6.12432253652151	9.10341841676742
BA2855	5.04276470874514	8.81487669872437
BA2261	5.35593989387114	8.53400537696188
BA2721	5.36181709207634	8.97829037472744
BA2930	4.11024891875859	8.43517613550052
BA2728	5.25385282871793	8.5373170330564
BA2715	5.40992505038772	9.56420444046175
BA2469	6.0456807736423	8.35811493599106
BA2269	5.95600036566632	8.18416035809344
BA2098	5.78459303638823	9.14863087419242
BA2778	4.55952538407096	8.52190108216259
BA2951	4.95713318056663	9.14863087419242
BA2163	5.19161041350932	9.36044459889599
BA2379	5.17065533146209	8.65845299235754
BA2817	4.73550312580456	8.68189146093676
BA3153	6.2850706491728	9.47302564786274
BA2820	5.12063498746829	8.86216405394702
BA2723	4.86184303118266	9.09600320401444
BA2704	5.89560402298733	9.58408544068247
BA2088	5.92753747485825	9.4917929010063
BA2116	5.61175957380568	8.77199110438686
BA2584	4.82079936789571	10.0475291689068
BA3079	5.80891216118178	10.0007468429699
BA2417	5.86132938817703	9.65571538111022
BA2361	6.70809549173072	9.1755941413251
BA2450	5.21007881246748	9.24704173883127
BA2492	4.90013515136005	8.19611264417946
BA2552	5.67470446988703	9.00955709168753
BA2472	5.91798611999628	8.68106286594684
BA2994	4.94068738942346	9.23491479941431
BA2047	6.16092602046833	9.58909503454725
BA2101	4.64626652070706	9.48238177689826
BA2082	6.30740738637139	8.77804587995587
BA2879	5.60504344827743	9.17171491689544
BA2577	6.61753222574519	9.54457000922792
BA2456	5.68229960670136	8.80250309714617
BA2175	7.45571345371651	9.59412059033195
BA2824	4.15346615907927	9.19512951707567
BA2507	6.41417827633489	9.88079564639631
BA2563	5.69295647546023	9.68211371581436
BA2244	5.4417363654644	8.84624370479657
BA2470	6.57095981156775	9.76974697360105
BA2984	5.77144374108322	9.6874475749889
BA2414	5.48915482766383	9.64008823387741
BA2697	4.34833610549937	9.44696832329653
BA2079	4.32449447757761	8.68391306436784
BA2999	5.93293802015649	9.03429954865997
BA2644	5.67127118896803	9.3735473533766
BA2011	5.82504535283309	9.09600320401444
BA2217	6.72238123052722	9.69279982690398
BA2454	6.12432253652151	9.86270964606403
BA2776	6.24227196022735	9.80971908397822
BA2218	5.49138177082753	9.59916222255831
BA2135	5.7594907917192	9.94271473100152
BA2914	5.67772909120233	8.83362186336888
BA2500	6.0444352624309	9.0307417478067
BA2830	6.43146976668751	9.44987135785787
BA2406	5.67355536167547	9.4270458724936
BA3108	5.94520040841415	9.43613726309062
BA2924	5.41943459061555	9.09230819306279
BA2303	4.8973168898075	8.83676787171411
BA2160	4.64945091473465	9.55927298456459
BA2038	5.47320709939818	9.0307417478067
BA2602	5.25002967084118	8.56338303703764
BA2964	5.91398655787065	8.8717935877338
BA2898	6.16739291737488	9.44987135785787
BA3003	6.21273472230969	9.48238177689826
BA2111	6.43590316276273	9.58408544068247
BA2827	6.2220023406681	9.58909503454725
BA2912	6.08879387607679	9.55927298456459
BA2437	6.44658590502143	9.55927298456459
BA2283	6.15698094792798	9.58909503454725
BA2057	6.10020798817236	9.54457000922792
BA2633	6.57095981156775	9.58909503454725
BA3034	6.41227021268222	9.55435683089665
BA2607	6.10408615184211	9.3735473533766
BA2761	5.69370906216796	9.4270458724936
BA2795	5.94796425199258	9.54457000922792
BA2182	6.34190143280827	9.54457000922792
BA2152	6.37124794281337	9.49651930986164
BA2381	6.78255354390321	9.80971908397822
BA2931	5.80146381261149	9.53000194332933
BA2040	6.38171333036269	9.34313727945847
BA2590	5.22927128390671	9.60929418124753
BA3195	6.12593955851946	9.3561004357089
BA2516	5.6412866944169	8.94268168369866
BA2353	5.80413235131943	9.2429894144776
BA3036	4.72214637587513	9.11086746340759
BA2971	6.24100946664766	9.02543573403374
BA3410	5.20116609846323	9.47302564786274
BA3118	5.55248246165005	9.22287720595147
BA3206	5.75987481048265	9.57411368730524
BA3202	6.07775440645337	9.48238177689826
BA3217	5.92637395893393	9.4045391740165
BA3405	4.650152754678	8.22445433533228
BA3306	5.03114997890888	9.00255657247606
BA3371	6.41701283707656	9.10341841676742
BA3413	5.78731556681433	9.58909503454725
BA3411	5.73699919077019	9.07395764638915
BA3133	4.36608295505138	9.3561004357089
BA3164	5.40740251107271	9.13342062895717
BA3451	4.67318634632102	8.52958832512444
BA3286	6.33324319286844	9.36916799017741
BA3212	5.43439292364828	9.56098320131876
BA3103	5.72061360951374	8.91751782379931
BA3271	5.44900669366577	9.1872873383188
BA3152	6.41701283707656	9.3735473533766
BA3095	5.46260848821559	9.79245962144758
BA3192	5.71368801694621	9.11086746340759
BA3251	6.25491135905161	9.40901547409309
BA3362	5.68192875741287	9.00434706477645
BA3400	5.11186015453485	9.65048894475304
BA3135	5.75302384911337	9.4000752436972
BA3408	5.39780333094655	9.63491369950168
BA3187	5.48321215171909	9.27569316532541
BA3098	4.67531691808554	9.12964008242639
BA3435	5.07731571102635	9.19120372633416
BA3261	6.44848147466049	9.54457000922792
BA3203	6.03938413348279	9.76974697360105
BA3174	5.50239845192536	8.89776108628452
BA3317	5.38434316295162	9.33883912107995
BA3299	5.96305194548373	8.75098362594822
BA3221	4.54056013941107	8.78108213178214
BA3347	5.85501990072082	9.43158515365849
BA3235	4.22287672834749	8.20012237793382
BA3126	4.69293160792587	8.26607857536642
BA3380	4.97875034136153	9.04143859741613
BA3089	5.02586431491849	9.2389471182711
BA3109	5.75302384911337	8.46185834013681
BA3114	6.33324319286844	9.17171491689544
BA3418	6.24912819394912	8.97829037472744
BA3245	5.7664756489083	9.56915130536806
BA3085	5.37196237255135	9.07761127342397
BA3128	5.94349363207294	9.45909303825332
BA3423	6.09515830888203	9.67679810675791
BA3173	6.732801148639	9.98114720830101
BA3171	4.0819519400544	8.83048212173684
BA3277	5.88444565778855	9.43158515365849
BA3210	6.01784200578308	9.19120372633416
BA3157	5.89048099649459	9.56420444046175
BA3433	5.79988688207929	9.53969913371194
BA3322	5.41063794413204	9.53484314535953
BA3374	5.4417363654644	8.79328666582968
BA3450	6.71610247691018	9.60422004710875
BA3167	4.57121893124893	8.47663077360064
BA3269	6.56014980461976	9.60929418124753
BA3110	7.02698040559294	9.66259277874038
BA3156	7.60876718089275	9.2592593958878
BA3226	4.87378270256901	9.39118419839355
BA3421	5.36902005012398	8.95777690896205
BA3232	5.5239080872138	9.27569316532541
BA3289	6.14149524736616	8.61423212805534
BA3430	5.6837918460088	8.38747453651413
BA3145	5.01042178805716	9.30906602396076
BA3399	6.63809847581986	8.96117775713075
BA3449	6.45198017318936	9.09230819306279
BA3384	5.25385282871793	9.17948259034573
BA3427	4.05924814574432	9.28812805203208
BA3163	5.01183343730558	8.52958832512444
BA3158	6.59418114772064	9.55927298456459
BA3436	5.29768689368079	9.61438474364243
BA3154	6.07058706634591	9.62258533258528
BA3162	5.51276153131016	8.12230223339654
BA3352	4.99630420821888	8.92264013919218
BA3084	5.58159000678894	9.31751716888528
BA3149	5.23248591034629	8.71853926395486
BA3169	5.82897025310715	8.9076089453561
BA3180	4.6742639798329	9.2109276242084
BA3255	5.37675910366016	9.41350421836705
BA3438	5.6412866944169	9.62975620855742
BA3345	5.58306894890271	8.94087956106744
BA3403	4.15189910009998	8.47415784691615
BA3431	4.85688426869055	8.42559982560594
BA3181	4.67601516668643	8.03722226484621
BA3341	5.16672802617493	8.96458579397726
BA3191	5.13333297859029	8.77804587995587
BA3197	5.13159055958208	9.16398396797258
BA3448	5.37601760770264	9.38234175781362
BA3453	6.35627429889414	9.12586826213153
BA3406	5.24255862650171	9.82133532639013
BA3308	5.62530338833762	9.17948259034573
BA3186	6.67894286315779	9.40240975182614
BA3334	7.07994856692804	8.65565049707964
BA3447	6.90558799283489	9.52036350053221
BA3116	6.57821130696448	8.97485330936457
BA3280	6.67502657403681	9.53969913371194
BA3185	7.12738803665014	9.19906475607931
BA3094	4.20331989489853	8.6697155276332
BA3318	5.7725785925433	8.42559982560594
BA3216	5.17629556050641	9.40901547409309
BA3332	6.63537899034447	9.41800548205558
BA3214	5.96784634669034	9.25691151442812
BA3099	5.24967382044831	9.4045391740165
BA3141	5.29048759416866	9.39562360946183
BA3373	4.42407225307684	9.3217592552912
BA3319	5.04731382080461	8.43037965011906
BA3328	4.37051170514398	9.28812805203208
BA3339	5.11186015453485	9.732408696693
BA3240	4.56550171421847	9.08127310626888
BA3142	4.56728703193523	9.44070228005406
BA3333	4.71441327883724	9.46372381175102
BA3381	5.82620355123692	8.74800571415782
BA3290	5.67772909120233	8.8879736022598
BA3207	4.39517517514659	7.93502206043898
BA3296	5.81764194891905	8.8879736022598
BA3305	5.41063794413204	8.82110029202306
BA3434	5.86616732804556	9.27569316532541
BA3189	4.77174514426462	9.08862153045619
BA3264	5.80340144842646	9.55435683089665
BA3329	6.56428369493048	9.48406046211483
BA3417	5.44569104780308	9.23491479941431
BA3367	5.51875648132132	8.60436299215519
BA3225	3.92121831220639	8.11666073243668
BA3183	5.55285643961997	9.04143859741613
BA3222	4.90882466152865	9.08494318011795
BA3139	6.03732004077161	8.88653621315296
BA3397	5.20903956129855	9.64527993925034
BA3311	4.23395182475299	8.07971165578759
BA3422	5.37423056792449	10.0888662099127
BA3228	4.66327617789941	8.68391306436784
BA3213	5.67849879072138	9.26335235036244
BA3270	5.20545697822648	8.8717935877338
BA3415	4.92943275175156	9.34744684153524
BA3324	4.35758642020142	8.8525926437112
BA3194	4.77701262518198	9.68211371581436
BA3335	5.12629796090127	9.96822468421139
BA3199	6.37878971540536	9.4917929010063
BA3326	5.54282665462534	9.27569316532541
BA3285	5.64878460317562	8.72329447406972
BA3297	4.76073211339353	9.09230819306279
BA3227	5.27249782330272	9.11460476788528
BA3394	4.27458283678045	8.65006116973985
BA3412	5.64653817010519	8.93752128537319
BA3293	4.23128250270976	9.44239146973819
BA3250	5.97691207859612	9.21888429779212
BA3177	5.8625242189267	9.47769688223901
BA3315	5.85381815948029	8.96117775713075
BA3182	4.53554304554111	8.91751782379931
BA3260	5.79562998630529	8.43758065182973
BA3369	5.59101551435814	9.24704173883127
BA3078	5.26673694417636	9.20475662343021
BA3386	5.32375937310038	9.71984209806913
BA3445	6.89968682755392	9.4000752436972
BA3452	5.24575571846811	8.57129520837751
BA3176	6.01172249264152	9.29229417829056
BA3258	5.32233498083344	8.64449262965366
BA3295	5.6765932151773	8.76897254396233
BA3283	6.31991412295615	9.47302564786274
BA3390	4.97454697212043	8.49908497066643
BA3275	5.98958134739074	9.73629770852437
BA3136	4.64802834978993	9.05220627117217
BA3190	6.26203648745747	8.51425498508966
BA3234	4.71789490848166	7.94635895319707
BA3087	4.43857953725792	9.37964346609645
BA3454	4.81025360122033	9.160132157513
BA3302	5.57338620444232	9.39118419839355
BA3117	6.20697852343694	9.44696832329653
BA3083	5.85654635479991	8.9076089453561
BA3266	5.6533576160666	9.21888429779212
BA3175	4.48731198029739	8.35811493599106
BA3268	4.70980361858599	9.28397254525379
BA3229	5.09426584501126	8.70401585675217
BA3353	5.70643173596218	9.78674968596522
BA3312	6.84900595542396	9.20300948929151
BA3119	5.5361204470046	9.3561004357089
BA3138	5.54245080282141	9.04501990946176
BA3219	3.93885101416568	8.44724078411408
BA3388	5.29193462972356	8.88148184246882
BA3357	5.92555008265751	9.36650856672567
BA3351	5.45304161965294	9.54457000922792
BA3208	4.85230183637924	9.65571538111022
BA3310	5.83716487793583	9.1755941413251
BA3200	3.7606440049025	9.1872873383188
BA3325	4.72110255717993	9.16398396797258
BA3146	5.13692147172974	9.15628939970288
BA3211	5.88879613535989	9.11086746340759
BA3237	5.15140387829057	9.13342062895717
BA3130	5.08793311079164	7.51630069461518
BA3376	4.89591757187592	9.3217592552912
BA3137	6.01704720263967	9.06304565250042
BA3300	5.92116291399342	9.24242183959432
BA3375	5.86901047120639	9.39118419839355
BA3249	5.80028394350004	8.88978486658959
BA3385	5.36619555084966	8.95438322249582
BA3242	5.70872171926613	9.12586826213153
BA3446	5.78692047501447	9.08127310626888
BA3416	5.69646062028678	9.22687989289351
BA3123	5.07164095305392	8.68758550697862
