Sample,TotalKmers
BA2000,7257825540
BA2003,7430744300
BA2004,9737213220
BA2006,8173045860
BA2011,8141679840
BA2019,8362409860
BA2020,10986815980
BA2022,8693195840
BA2023,6204715440
BA2024,10864332780
BA2025,7145131700
BA2031,6572317360
BA2032,6520492300
BA2033,9682106420
BA2034,7328423900
BA2035,6217670060
BA2036,7970342380
BA2037,9245605880
BA2041,6907664540
BA2044,6829887820
BA2046,8350758220
BA2047,9483174120
BA2050,5742223200
BA2051,11929386420
BA2052,8977505180
BA2053,7030049320
BA2054,8531157040
BA2055,6195129360
BA2063,8812339060
BA2065,7670495280
BA2066,11825556680
BA2068,7467501300
BA2069,6916062160
BA2072,5751398940
BA2079,8714911940
BA2080,6911802940
BA2081,5850997600
BA2082,9492673400
BA2087,5578304760
BA2088,7805526400
BA2089,11437437620
BA2093,5986453060
BA2094,10561110280
BA2095,5860218840
BA2096,6463916480
BA2097,14589031940
BA2098,7965645520
BA2100,6703878160
BA2101,8340797920
BA2104,5411533960
BA2106,7171245060
BA2109,8011330880
BA2110,6152349560
BA2113,8617071400
BA2116,7978464200
BA2121,8579946200
BA2122,7151540900
BA2123,7958002640
BA2124,9070957280
BA2125,7232958740
BA2132,9962254540
BA2133,8193431260
BA2134,5670167440
BA2135,8731694580
BA2139,6124993700
BA2143,8140602120
BA2148,4800609660
BA2153,7278232780
BA2155,4603823700
BA2156,7132607020
BA2162,7355165580
BA2163,8560409620
BA2168,6355436920
BA2169,7470523200
BA2171,9344985860
BA2172,6643899500
BA2174,10033961980
BA2175,12453753480
BA2184,14287959700
BA2195,6109572840
BA2198,6639298820
BA2200,9984314340
BA2201,4588512180
BA2209,8754688040
BA2211,8749190660
BA2212,9008421240
BA2217,7588826980
BA2218,7591463880
BA2220,5350323580
BA2221,7660982280
BA2224,7093041200
BA2226,14192323180
BA2227,12345120060
BA2228,9885019200
BA2229,9053482760
BA2233,7814986760
BA2234,9414386800
BA2235,6590221680
BA2236,7068893020
BA2239,6142994060
BA2240,9554829620
BA2242,11212041120
BA2244,7619019520
BA2245,6544643700
BA2248,6592622820
BA2249,7192488940
BA2251,7202072780
BA2256,8596962360
BA2260,6968782240
BA2261,10665324740
BA2269,5372527160
BA2271,9613853060
BA2272,8745010260
BA2273,7974097320
BA2275,12073133100
BA2276,6675530260
BA2277,10152716280
BA2280,11928385280
BA2281,6443114300
BA2282,8722325640
BA2286,8101217600
BA2288,8869566720
BA2292,7001288000
BA2294,7267595300
BA2296,8933638000
BA2300,9470333180
BA2301,9250500280
BA2302,7196730520
BA2304,6171711700
BA2306,8486194640
BA2308,8472737840
BA2309,6827332960
BA2311,7871316880
BA2312,8495131680
BA2316,5633340580
BA2322,8510532800
BA2325,5835413360
BA2329,6245513960
BA2334,6648606020
BA2339,7448361480
BA2344,7031967880
BA2347,7859984720
BA2348,5449456320
BA2350,6505109520
BA2354,8873210920
BA2355,11537650740
BA2357,6424574660
BA2360,7191314200
BA2361,9429462140
BA2363,3538080420
BA2369,9854433820
BA2374,9177621740
BA2375,8484923160
BA2376,7726760440
BA2377,14227717980
BA2379,8546911100
BA2385,8002611120
BA2386,9399235020
BA2387,6832622440
BA2394,11804022440
BA2399,6861596560
BA2400,13690881820
BA2402,8054348400
BA2405,4867078720
BA2406,7666444660
BA2409,6550758620
BA2410,9689787940
BA2412,6547884280
BA2413,8512058800
BA2414,10749157020
BA2415,6353538660
BA2417,8466130400
BA2418,6463079700
BA2420,5989376400
BA2421,7207653040
BA2423,8405521180
BA2425,7188094900
BA2426,6490189580
BA2427,5938860900
BA2429,7857823260
BA2440,8857558080
BA2441,9789721620
BA2442,8496487720
BA2446,7182718900
BA2449,9170928340
BA2450,7426742120
BA2452,6601047880
BA2454,8712777500
BA2455,6313853700
BA2456,7091594160
BA2459,6033397020
BA2461,10260808180
BA2463,8738937900
BA2464,7183178660
BA2469,9114391160
BA2470,7200373040
BA2472,7895416060
BA2473,8486836400
BA2474,7145734960
BA2477,9272545380
BA2479,6517611800
BA2480,7301011200
BA2481,5689567940
BA2482,7219226560
BA2483,9142983080
BA2485,6779596600
BA2488,6229102740
BA2489,5952864820
BA2492,7599737180
BA2494,9136028720
BA2496,5463355520
BA2497,5429622940
BA2499,6764060940
BA2500,10473388800
BA2501,10195495240
BA2502,6498495220
BA2505,6960386720
BA2507,8441473460
BA2510,7820031240
BA2511,5476180220
BA2512,12271159740
BA2514,8352851920
BA2515,5791858240
BA2520,4687716880
BA2521,9825842040
BA2523,6586310920
BA2524,6278038200
BA2525,6807600940
BA2526,8776193440
BA2528,9666894580
BA2532,7460805800
BA2534,9360786820
BA2538,7400454460
BA2539,10277042160
BA2540,6464380300
BA2541,5575294340
BA2545,9607272500
BA2546,6058732820
BA2552,12130147960
BA2559,8033235140
BA2561,7004248020
BA2563,8254982540
BA2564,6627279960
BA2567,7619189200
BA2570,7863224460
BA2575,4761447040
BA2577,7761540080
BA2579,9299576020
BA2583,6892596340
BA2584,8690530800
BA2587,8954781220
BA2588,8178035040
BA2589,7967963220
BA2592,11421177740
BA2593,4369563100
BA2594,5786195520
BA2595,6513378900
BA2597,6261958640
BA2600,8864826040
BA2603,7420922180
BA2618,10589026420
BA2619,4643956660
BA2620,8137578680
BA2621,9022035260
BA2622,9451592780
BA2623,10113167260
BA2629,6586922720
BA2631,6979146160
BA2634,6971020280
BA2636,7175056420
BA2639,7746475240
BA2644,8405220600
BA2645,6891861200
BA2646,9795603860
BA2649,6648352900
BA2651,5190688020
BA2653,6701910460
BA2655,17826992960
BA2656,5823718180
BA2657,8385406680
BA2658,9291569140
BA2659,7283524920
BA2660,4572093120
BA2662,8914914400
BA2663,11266760260
BA2667,7201538960
BA2670,9577117900
BA2674,8732492020
BA2675,6302851800
BA2676,6401508540
BA2677,8897693560
BA2681,5458586280
BA2682,8167691700
BA2685,9534413560
BA2688,5843420380
BA2691,9576596960
BA2694,6543111400
BA2695,5760585040
BA2697,6970849480
BA2701,5697277460
BA2704,7309448020
BA2705,10617680640
BA2707,10790152100
BA2709,5717268760
BA2712,6503776860
BA2714,8031213680
BA2715,5872175820
BA2718,7654277400
BA2720,7276186820
BA2721,10771698560
BA2722,6551781880
BA2723,9249027620
BA2724,6077615180
BA2726,7451199700
BA2727,8107873060
BA2728,8251344640
BA2731,5277299440
BA2733,5270370420
BA2735,6751815700
BA2737,6739097120
BA2742,8138125660
BA2744,3358283180
BA2746,8656098080
BA2747,6486986800
BA2748,7990536120
BA2751,6623304940
BA2756,5589964100
BA2758,8651741000
BA2760,8378561100
BA2762,8512016520
BA2764,10038140420
BA2765,9064199060
BA2769,8954176000
BA2772,5068152600
BA2775,10002797280
BA2776,8038761080
BA2778,8457003520
BA2782,8864156420
BA2786,8489812800
BA2787,7270150020
BA2789,8577039800
BA2791,6259413300
BA2792,5867655640
BA2798,8592369800
BA2801,9639813540
BA2802,7467695620
BA2804,5709512340
BA2806,7345462600
BA2808,6702371340
BA2809,9806172880
BA2811,5682210940
BA2812,7495806080
BA2813,5990583900
BA2814,6421663080
BA2816,7449993880
BA2817,7811764800
BA2820,9500869000
BA2821,12790176980
BA2822,5816475980
BA2824,7884425500
BA2828,7312465020
BA2829,9108395940
BA2830,7045065580
BA2832,7839564180
BA2836,6410103420
BA2837,9180252900
BA2839,8100467620
BA2840,10925892040
BA2841,8749518680
BA2842,7704810680
BA2843,6993952140
BA2844,8292091500
BA2846,7137672640
BA2850,9025790340
BA2851,10313870000
BA2852,7758259320
BA2855,7832962340
BA2856,6912981320
BA2858,6765093300
BA2860,4948445180
BA2861,5743499860
BA2865,6255084360
BA2866,9119251680
BA2867,8098344800
BA2868,8331447180
BA2870,8919518440
BA2871,9118767000
BA2872,7110503820
BA2876,6835010000
BA2879,9386605060
BA2880,8448479900
BA2882,8755898900
BA2883,8752927540
BA2885,8579029060
BA2887,6882651720
BA2889,6224310260
BA2893,7311617600
BA2901,4804985080
BA2902,7799221360
BA2903,8731929780
BA2904,9061744720
BA2905,6623608740
BA2906,7153629560
BA2908,7211399160
BA2909,6033548360
BA2910,6588788780
BA2911,8854001660
BA2914,8485386280
BA2915,5188302560
BA2921,5380352040
BA2922,7200584860
BA2923,5917688840
BA2926,8694402360
BA2928,6436533460
BA2930,9990793260
BA2932,7345157120
BA2934,9875194560
BA2935,6740566140
BA2937,6145849500
BA2939,5903974440
BA2944,11522717920
BA2947,6708081240
BA2948,8909130020
BA2950,12916418620
BA2951,7223086360
BA2952,8901558820
BA2953,5220229420
BA2955,4942944860
BA2956,4938895640
BA2962,7477301020
BA2970,7894509980
BA2972,10192724500
BA2976,8134305200
BA2978,8812082160
BA2981,8128816080
BA2984,8091267100
BA2986,8074296440
BA2989,9872869300
BA2992,9313760400
BA2993,5990351220
BA2994,7137202520
BA2995,8150876300
BA2999,7873300960
BA3001,7843750180
BA3002,8821732080
BA3004,8850037420
BA3006,5458738880
BA3008,6364955380
BA3009,7882991340
BA3010,6930773640
BA3011,7520286760
BA3013,7348316640
BA3023,6346827200
BA3025,6065939880
BA3027,8188509840
BA3029,5385556820
BA3030,9656103520
BA3037,6717388860
BA3038,11249310940
BA3040,6065394020
BA3042,8097572700
BA3043,6529792220
BA3049,6093655820
BA3051,6449494100
BA3053,7548975420
BA3064,9114825860
BA3067,8305370640
BA3068,8437596860
BA3070,7888831160
BA3071,9253248620
BA3072,8542809240
BA2040,8851492160
BA2160,8605161180
BA2303,8514264360
BA2353,9216848760
BA2516,9259344780
BA2590,9138029180
BA2647,8764151900
BA2891,9478135240
BA2924,9603533940
BA2971,9208329900
BA3036,8980720140
BA3059,8484673680
BA3073,6886081160
BA3078,12930846174
BA3079,7646813160
BA3083,10898309294
BA3084,7536665780
BA3085,8865049760
BA3087,13523013154
BA3089,8903125980
BA3094,12405219960
BA3095,9686832260
BA3098,7679781060
BA3099,11431781620
BA3103,9003873480
BA3108,9072296660
BA3109,9216000220
BA3110,9270890160
BA3114,9273772900
BA3116,8673759640
BA3117,12552316206
BA3118,8683805060
BA3119,10819947162
BA3123,8557945340
BA3124,8443221500
BA3126,9377846660
BA3128,9263615480
BA3130,9036583920
BA3133,8504459320
BA3135,8084012720
BA3136,12574242520
BA3137,8449282240
BA3138,12982271900
BA3139,13120783620
BA3141,11158577260
BA3142,11267704420
BA3145,8264258520
BA3146,8414149380
BA3149,8684668020
BA3152,9697777040
BA3153,11865798280
BA3154,9394752360
BA3156,8747320680
BA3157,8793963080
BA3158,7963118940
BA3162,8331035440
BA3163,7716695980
BA3164,9523930360
BA3167,6552646380
BA3169,7659302000
BA3171,9406259940
BA3173,9625211960
BA3174,8755676160
BA3175,7396633020
BA3176,10280940722
BA3177,12198101608
BA3178,7166336660
BA3180,8947255520
BA3181,7815738700
BA3182,11947168012
BA3183,12151363728
BA3185,11798494864
BA3186,10502903460
BA3187,9689104040
BA3189,11835305808
BA3190,11048507380
BA3191,7673257200
BA3192,9318383760
BA3194,13823448100
BA3195,8965945660
BA3197,7501581640
BA3199,12334715122
BA3200,8634397800
BA3202,9691246740
BA3203,9370573100
BA3206,9269706180
BA3207,12702108314
BA3208,7852002200
BA3210,8025250940
BA3211,8830583720
BA3212,9220262380
BA3213,12131281662
BA3214,10612863876
BA3216,8260288680
BA3217,9361310840
BA3219,11373748120
BA3221,9148745060
BA3222,12863800040
BA3225,12269373680
BA3226,7759275160
BA3227,8628494140
BA3228,12540361960
BA3229,12601408588
BA3230,8115898980
BA3232,7421623860
BA3234,14621506900
BA3235,8682317140
BA3237,8000378260
BA3240,10888276568
BA3242,8168212640
BA3243,8929424000
BA3245,9354306920
BA3249,7789919060
BA3250,11086939920
BA3251,8840810720
BA3255,8951200160
BA3258,11536125156
BA3260,12852078774
BA3261,8578250800
BA3264,11405404642
BA3266,11950065948
BA3268,12397489346
BA3269,9623215700
BA3270,12960972326
BA3271,10310846420
BA3273,11202282588
BA3275,11823357502
BA3277,8901401880
BA3280,8063054720
BA3283,11600640868
BA3285,11992067500
BA3286,9427317340
BA3289,6844100060
BA3290,12933259606
BA3293,12081750784
BA3295,12512460520
BA3296,11506658452
BA3297,11505274378
BA3299,9476463220
BA3300,8147961360
BA3302,13339228840
BA3305,9840911264
BA3306,9280433960
BA3308,8243533900
BA3310,8566527900
BA3311,13063373120
BA3312,11349199196
BA3315,9651606662
BA3317,9330645940
BA3318,10719455740
BA3319,11178444480
BA3322,8524355000
BA3324,11301158400
BA3325,8030638280
BA3326,10874970174
BA3328,11119974134
BA3329,13249999268
BA3332,12692437546
BA3333,13449110920
BA3334,8174919480
BA3335,11066648164
BA3339,11812897924
BA3341,8305332000
BA3345,9900148300
BA3347,8843945040
BA3351,12224468310
BA3352,6721034180
BA3353,12698866170
BA3357,12339343754
BA3362,8923147100
BA3367,12674423426
BA3369,12641417460
BA3371,9376137540
BA3373,11854531614
BA3374,5072798920
BA3375,6363310380
BA3376,9067227400
BA3379,9820734342
BA3380,9634918020
BA3381,12497289928
BA3384,7614978420
BA3385,8005593960
BA3386,12310391800
BA3388,8230549180
BA3390,9848941760
BA3394,11694014104
BA3395,6762999880
BA3397,11737474482
BA3399,8420969340
BA3400,9754594920
BA3403,13222398000
BA3405,9354164260
BA3406,8833060600
BA3407,8557809820
BA3408,9221331420
BA3410,9109860060
BA3411,11021490200
BA3412,12857542880
BA3413,8908069800
BA3415,12151638924
BA3416,8157286620
BA3417,11258743580
BA3418,9253960800
BA3421,7402556140
BA3422,12464789536
BA3423,8167037760
BA3427,10727664912
BA3430,5793403560
BA3431,7661637200
BA3433,8738210180
BA3434,10719341440
BA3435,9495128160
BA3436,8403008320
BA3438,9745327480
BA3445,12857762324
BA3446,8273833820
BA3447,4579619380
BA3448,7774888940
BA3449,7373008160
BA3450,9835947800
BA3451,9101450680
BA3452,11509059530
BA3453,7489153980
BA3454,12594145714
BA3075,7050318940
BA3076,7766620120
BA3077,9771466880
